address,availability_date,construction_year,floors,current_state,habitable_area,rent,charges,energy_consumption
"rue Albert de Meyer 21
    bus 0
    | 1090 - Jette","",1930,3,Vernieuwd,65 m2,€ 750 /maand,"",""
"1080 MOLENBEEK-SAINT-JEAN
    
    |
    
      Adres aanvragen",01/03/2018,1970,8,Goede staat,90 m2,€ 750 /maand,"",""
"","","","","","","","",""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",10/04/2018,1974,9,Goede staat,90 m2,€ 750 /maand,€ 175,260 kWu/m2
"1020 Laeken
    
    |
    
      Adres aanvragen",02/05/2018,"",2,"",80 m2,€ 750 /maand,"",840 kWu/m2
"","","","","","","","",""
"Rue Ongena 1,13
    
    | 1090 - Jette",01/04/2018,1995,4,Goede staat,88 m2,€ 750 /maand,"",229 kWu/m2
"","","","","","","","",""
"1120 Neder-over-Heembeek
    
    |
    
      Adres aanvragen","","",3,Goede staat,94 m2,€ 745 /maand,€ 150,""
"1180 Ukkel
    
    |
    
      Adres aanvragen",01/07/2018,"",4,Vernieuwd,85 m2,€ 750 /maand,"",""
"Rue Théodore Decuyper 123
    
    | 1200 - St-Lambrechts-Woluwe",01/07/2018,"",16,"",80 m2,€ 750 /maand,€ 200,""
"1070 Anderlecht
    
    |
    
      Adres aanvragen",15/04/2018,"",3,Uitstekende staat,65 m2,€ 750 /maand,€ 5,86 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen","","",3,"",80 m2,€ 750 /maand,€ 10,275 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen",15/03/2018,"",3,"",70 m2,€ 750 /maand,"",""
"1190 Vorst
    
    |
    
      Adres aanvragen","","","","",75 m2,€ 745 /maand,€ 150,""
"Prosper Préserstraat 58
    bus 02.01
    | 1082 - Sint-Agata-Berchem","","","",Vernieuwd,77 m2,€ 745 /maand,€ 125,231 kWu/m2
"Leopold II Laan 61,
    
    | 1080 - Sint-Jans-Molenbeek","",2012,6,Goede staat,66 m2,€ 750 /maand,€ 85,144 kWu/m2
"","","","","","","","",""
"AVENUE VICTOR JACOBS 18
    
    | 1040 - Etterbeek",01/05/2018,"",4,"",85 m2,€ 750 /maand,€ 30,""
"avenue Frans Van Kalken 8
    
    | 1070 - Anderlecht",01/06/2018,"",13,Goede staat,85 m2,€ 750 /maand,€ 150,244 kWu/m2
"rue de la royauté 24
    
    | 1020 - Laeken","",1980,3,Uitstekende staat,70 m2,€ 750 /maand,€ 30,""
"rue de Savoie 69
    
    | 1060 - St-Gilles","",1950,5,Goede staat,85 m2,€ 750 /maand,€ 50,""
"Rue Marie-Thérèse 114
    
    | 1210 - St-Joost-ten-Node",01/06/2018,"",6,Goede staat,85 m2,€ 750 /maand,€ 140,""
"rue du frontispice 2 a
    
    | 1000 - Brussel","",2005,"",Uitstekende staat,60 m2,€ 750 /maand,€ 125,""
"","","","","","","","",""
"Avenue Edgard Tytgat 1
    
    | 1200 - Woluwe-St-Lambert","",1960,3,Uitstekende staat,88 m2,€ 750 /maand,€ 100,375 kWu/m2
"","","","","","","","",""
"","","","","","","","",""
"rue Léon Théodor 233
    
    | 1090 - Jette","",1930,3,"",85 m2,€ 750 /maand,"",720 kWu/m2
"Rue des Hellènes 49
    
    | 1050 - Elsene","","","","",70 m2,€ 750 /maand,€ 30,206 kWu/m2
"Avenue Henry Dunant 9/38
    
    | 1140 - Evere","","","","",75 m2,€ 750 /maand,€ 140,241 kWu/m2
"1070 Anderlecht
    
    |
    
      Adres aanvragen",01/05/2018,1960,19,Uitstekende staat,68 m2,€ 750 /maand,€ 150,""
"rue Elise 72
    
    | 1050 - Ixelles","","",3,Goede staat,"",€ 750 /maand,€ 30,957 kWu/m2
"avenue des Bardanes 10
    
    | 1082 - St-Agatha-Berchem","","",3,Vernieuwd,62 m2,€ 750 /maand,"",""
"","","","","","","","",""
"avenue Tir aux Pigeons 3
    
    | 1150 - St-Pieters-Woluwe","","","","",80 m2,€ 750 /maand,€ 200,""
"chaussée de louvain 332
    
    | 1000 - Brussel","","","","",75 m2,€ 750 /maand,"",""
"Avenue Mutssard 00
    
    | 1020 - Laeken","","",2,Uitstekende staat,100 m2,€ 750 /maand,"",""
"rue de TERVAETE 69
    
    | 1040 - Etterbeek",01/07/2018,"",4,Goede staat,60 m2,€ 750 /maand,€ 15,""
"1020 Laeken
    
    |
    
      Adres aanvragen",01/04/2018,1958,3,"",80 m2,€ 750 /maand,€ 150,""
"Avenue de l'Exposition 406
    
    | 1090 - Jette","","","","",81 m2,€ 750 /maand,€ 200,""
"Rue du Gazouillis 5
    
    | 1070 - Anderlecht","","","","",85 m2,€ 750 /maand,€ 10,""
"avenue Speeckaert 21
    
    | 1200 - Woluwe-St-Lambert",01/06/2018,1965,3,Goede staat,85 m2,€ 750 /maand,€ 25,""
"chaussée de wavre 521
    bus 1040
    | 1040 - Etterbeek",01/06/2018,"",3,"",65 m2,€ 750 /maand,€ 20,""
"1050 Elsene
    
    |
    
      Adres aanvragen","","",5,"",77 m2,€ 745 /maand,€ 180,""
"1210 St-Joost-ten-Node
    
    |
    
      Adres aanvragen","","","","",60 m2,€ 750 /maand,"",""
"rue d'Edimbourg 3
    
    | 1050 - Elsene","","",3,"",70 m2,€ 750 /maand,"",""
"1020 Laeken
    
    |
    
      Adres aanvragen",01/05/2018,"","","",68 m2,€ 750 /maand,€ 130,""
"Rue General Leman 63
    
    | 1040 - Etterbeek",05/06/2018,1905,3,Goede staat,74 m2,€ 750 /maand,€ 15,314 kWu/m2
"1020 LAEKEN (BRU.)
    
    |
    
      Adres aanvragen",01/07/2018,1960,4,Goede staat,80 m2,€ 760 /maand,€ 150,401 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen","","",7,Goede staat,96 m2,€ 750 /maand,€ 100,162 kWu/m2
"Rue Lieutenant Liedel 10
    
    | 1070 - Anderlecht","",1970,5,Vernieuwd,65 m2,€ 750 /maand,"",345 kWu/m2
"1083 Ganshoren
    
    |
    
      Adres aanvragen",01/07/2018,"",3,Goede staat,75 m2,€ 750 /maand,€ 50,156 kWu/m2
"rue Albert de Meyer 21
    bus 0
    | 1020 - Laeken","",1930,3,Vernieuwd,65 m2,€ 750 /maand,"",""
"","","","","","","","",""
"1080 MOLENBEEK-SAINT-JEAN
    
    |
    
      Adres aanvragen",01/03/2018,1970,8,Goede staat,90 m2,€ 750 /maand,"",""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",10/04/2018,1974,9,Goede staat,90 m2,€ 750 /maand,€ 175,260 kWu/m2
"1020 Laeken
    
    |
    
      Adres aanvragen",02/05/2018,"",2,"",80 m2,€ 750 /maand,"",840 kWu/m2
"Avenue Jean Laudy 19
    
    | 1200 - St-Lambrechts-Woluwe","",1967,3,Goede staat,90 m2,€ 750 /maand,"",""
"Rue Ongena 1,13
    
    | 1090 - Jette",01/04/2018,1995,4,Goede staat,88 m2,€ 750 /maand,"",229 kWu/m2
"Avenue Van Overbeek 200
    
    | 1083 - Ganshoren",01/06/2018,"","","",100 m2,€ 750 /maand,€ 270,""
"Avenue des Gerfauts 4
    
    | 1170 - Watermaal-Bosvoorde",15/04/2018,1966,12,"",70 m2,€ 760 /maand,€ 170,308 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen",01/07/2018,"",4,Vernieuwd,85 m2,€ 750 /maand,"",""
"Rue Théodore Decuyper 123
    
    | 1200 - St-Lambrechts-Woluwe",01/07/2018,"",16,"",80 m2,€ 750 /maand,€ 200,""
"1070 Anderlecht
    
    |
    
      Adres aanvragen",15/04/2018,"",3,Uitstekende staat,65 m2,€ 750 /maand,€ 5,86 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen","","",3,"",80 m2,€ 750 /maand,€ 10,275 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen",15/03/2018,"",3,"",70 m2,€ 750 /maand,"",""
"AVENUE DE LIMA 21
    
    | 1020 - Laeken","",1991,4,Goede staat,95 m2,€ 760 /maand,€ 80,106 kWu/m2
"Leopold II Laan 61,
    
    | 1080 - Sint-Jans-Molenbeek","",2012,6,Goede staat,66 m2,€ 750 /maand,€ 85,144 kWu/m2
"AVENUE DE L'AULNE 108
    
    | 1180 - Uccle","",1969,8,Goede staat,78 m2,€ 750 /maand,€ 160,145 kWu/m2
"AVENUE VICTOR JACOBS 18
    
    | 1040 - Etterbeek",01/05/2018,"",4,"",85 m2,€ 750 /maand,€ 30,""
"avenue Frans Van Kalken 8
    
    | 1070 - Anderlecht",01/06/2018,"",13,Goede staat,85 m2,€ 750 /maand,€ 150,244 kWu/m2
"rue de la royauté 24
    
    | 1020 - Laeken","",1980,3,Uitstekende staat,70 m2,€ 750 /maand,€ 30,""
"rue de Savoie 69
    
    | 1060 - St-Gilles","",1950,5,Goede staat,85 m2,€ 750 /maand,€ 50,""
"Rue Marie-Thérèse 114
    
    | 1210 - St-Joost-ten-Node",01/06/2018,"",6,Goede staat,85 m2,€ 750 /maand,€ 140,""
"rue du frontispice 2 a
    
    | 1000 - Brussel","",2005,"",Uitstekende staat,60 m2,€ 750 /maand,€ 125,""
"Avenue Jean Sibélius 16
    
    | 1070 - Anderlecht","","",19,"",85 m2,€ 750 /maand,"",""
"Avenue Edgard Tytgat 1
    
    | 1200 - Woluwe-St-Lambert","",1960,3,Uitstekende staat,88 m2,€ 750 /maand,€ 100,375 kWu/m2
"rue Potagère, 109 
    bus 0
    | 1210 - Bruxelles 21","","",3,"",125 m2,€ 760 /maand,€ 15,""
"square Baron Hankar 3
    
    | 1160 - Auderghem","","",4,Goede staat,80 m2,€ 750 /maand,€ 130,295 kWu/m2
"","","","","","","","",""
"rue Léon Théodor 233
    
    | 1090 - Jette","",1930,3,"",85 m2,€ 750 /maand,"",720 kWu/m2
"Rue des Hellènes 49
    
    | 1050 - Elsene","","","","",70 m2,€ 750 /maand,€ 30,206 kWu/m2
"Avenue Henry Dunant 9/38
    
    | 1140 - Evere","","","","",75 m2,€ 750 /maand,€ 140,241 kWu/m2
"1070 Anderlecht
    
    |
    
      Adres aanvragen",01/05/2018,1960,19,Uitstekende staat,68 m2,€ 750 /maand,€ 150,""
"rue Elise 72
    
    | 1050 - Ixelles","","",3,Goede staat,"",€ 750 /maand,€ 30,957 kWu/m2
"avenue des Bardanes 10
    
    | 1082 - St-Agatha-Berchem","","",3,Vernieuwd,62 m2,€ 750 /maand,"",""
"Rue Gustave Fuss 54
    
    | 1030 - Schaarbeek",15/06/2018,1930,"",Vernieuwd,67 m2,€ 750 /maand,"",""
"avenue Tir aux Pigeons 3
    
    | 1150 - St-Pieters-Woluwe","","","","",80 m2,€ 750 /maand,€ 200,""
"chaussée de louvain 332
    
    | 1000 - Brussel","","","","",75 m2,€ 750 /maand,"",""
"Avenue Mutssard 00
    
    | 1020 - Laeken","","",2,Uitstekende staat,100 m2,€ 750 /maand,"",""
"Verboekhaven 72
    
    | 1030 - Schaarbeek","","",3,"",90 m2,€ 760 /maand,"",""
"rue de TERVAETE 69
    
    | 1040 - Etterbeek",01/07/2018,"",4,Goede staat,60 m2,€ 750 /maand,€ 15,""
"1020 Laeken
    
    |
    
      Adres aanvragen",01/04/2018,1958,3,"",80 m2,€ 750 /maand,€ 150,""
"Avenue de l'Exposition 406
    
    | 1090 - Jette","","","","",81 m2,€ 750 /maand,€ 200,""
"Rue du Gazouillis 5
    
    | 1070 - Anderlecht","","","","",85 m2,€ 750 /maand,€ 10,""
"avenue Speeckaert 21
    
    | 1200 - Woluwe-St-Lambert",01/06/2018,1965,3,Goede staat,85 m2,€ 750 /maand,€ 25,""
"Strijderstraat 78
    
    | 1082 - Sint-Agatha-Berchem",16/10/2011,1993,"","","",€ 755 /maand,"",287 kWu/m2
"chaussée de wavre 521
    bus 1040
    | 1040 - Etterbeek",01/06/2018,"",3,"",65 m2,€ 750 /maand,€ 20,""
"boulevard Louis Mettewie 41
    
    | 1080 - Molenbeek-St-Jean","","",4,Uitstekende staat,"",€ 760 /maand,€ 120,""
"","","","","","","","",""
"rue d'Edimbourg 3
    
    | 1050 - Elsene","","",3,"",70 m2,€ 750 /maand,"",""
"1020 Laeken
    
    |
    
      Adres aanvragen",01/05/2018,"","","",68 m2,€ 750 /maand,€ 130,""
"1020 LAEKEN (BRU.)
    
    |
    
      Adres aanvragen",01/07/2018,1960,4,Goede staat,80 m2,€ 760 /maand,€ 150,401 kWu/m2
"Avenue des Gerfauts 4
    
    | 1170 - Watermaal-Bosvoorde",15/04/2018,1966,12,"",70 m2,€ 760 /maand,€ 170,308 kWu/m2
"1060 Saint-Gilles
    
    |
    
      Adres aanvragen","",1911,"",Goede staat,70 m2,€ 770 /maand,€ 50,206 kWu/m2
"AVENUE DE LIMA 21
    
    | 1020 - Laeken","",1991,4,Goede staat,95 m2,€ 760 /maand,€ 80,106 kWu/m2
"Middelweg 23
    
    | 1130 - Haren",01/03/2018,1968,2,Goede staat,85 m2,€ 770 /maand,€ 95,""
"rue Potagère, 109 
    bus 0
    | 1210 - Bruxelles 21","","",3,"",125 m2,€ 760 /maand,€ 15,""
"Rue Adolphe Marbotin 101
    
    | 1030 - Schaerbeek","","",3,Uitstekende staat,65 m2,€ 765 /maand,€ 30,""
"","","","","","","","",""
"1090 Jette
    
    |
    
      Adres aanvragen",01/06/2018,"","","",95 m2,€ 770 /maand,"",""
"1160 Oudergem
    
    |
    
      Adres aanvragen","","","","",70 m2,€ 770 /maand,€ 130,185 kWu/m2
"boulevard Louis Mettewie 41
    
    | 1080 - Molenbeek-St-Jean","","",4,Uitstekende staat,"",€ 760 /maand,€ 120,""
"drève de la brise 35
    
    | 1170 - Watermaal-Bosvoorde",12/03/2018,"",3,"",70 m2,€ 770 /maand,€ 130,""
"1050 Elsene
    
    |
    
      Adres aanvragen","","","","",110 m2,€ 770 /maand,€ 15,""
"","","","","","","","",""
"1080 MOLENBEEK-SAINT-JEAN
    
    |
    
      Adres aanvragen",01/05/2018,2003,5,Goede staat,87 m2,€ 780 /maand,€ 140,150 kWu/m2
"","","","","","","","",""
"1180 Ukkel
    
    |
    
      Adres aanvragen","","",2,Uitstekende staat,80 m2,€ 780 /maand,€ 100,""
"1020 Bruxelles  2
    
    |
    
      Adres aanvragen","","",3,"",85 m2,€ 780 /maand,€ 150,""
"1082 Berchem-Sainte-Agathe
    
    |
    
      Adres aanvragen","","",8,"",85 m2,€ 780 /maand,€ 85,320 kWu/m2
"Avenue Julien Hanssens 11-13
    
    | 1080 - Molenbeek-Saint-Jean",01/06/2018,"",6,Uitstekende staat,97 m2,€ 775 /maand,€ 175,104 kWu/m2
"Rue Abbe Paul Le Roux 10
    
    | 1090 - Jette",26/03/2018,"",4,Uitstekende staat,85 m2,€ 775 /maand,€ 75,274 kWu/m2
"1060 Saint-Gilles
    
    |
    
      Adres aanvragen","",1911,"",Goede staat,70 m2,€ 770 /maand,€ 50,206 kWu/m2
"1030 Schaarbeek
    
    |
    
      Adres aanvragen","",1920,4,Goede staat,75 m2,€ 775 /maand,"",189 kWu/m2
"Middelweg 23
    
    | 1130 - Haren",01/03/2018,1968,2,Goede staat,85 m2,€ 770 /maand,€ 95,""
"Tamariskenlaan 35,
    
    | 1080 - Sint-Jans-Molenbeek",01/04/2018,"",8,Goede staat,88 m2,€ 780 /maand,€ 175,155 kWu/m2
"Brand Whitlocklaan 138
    
    | 1200 - St-Lambrechts-Woluwe","","",8,Goede staat,95 m2,€ 780 /maand,€ 150,""
"a 1
    
    | 1040 - Etterbeek","","",3,Goede staat,75 m2,€ 780 /maand,"",""
"1200 WOLUWE-SAINT-LAMBERT
    
    |
    
      Adres aanvragen","",1960,"",Vernieuwd,80 m2,€ 780 /maand,€ 125,443 kWu/m2
"Boulevard Barthélémy 16
    
    | 1000 - Brussel",26/05/2018,1840,"","",95 m2,€ 780 /maand,€ 80,""
"RUE DU BROEK 7
    
    | 1082 - St-Agatha-Berchem",01/05/2018,1991,3,Uitstekende staat,75 m2,€ 780 /maand,"",""
"Place de la Patrie /
    
    | 1030 - Schaarbeek","",1960,"",Uitstekende staat,75 m2,€ 780 /maand,"",""
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen","",1967,7,Uitstekende staat,85 m2,€ 775 /maand,€ 180,150 kWu/m2
"1190 Vorst
    
    |
    
      Adres aanvragen","","",4,Vernieuwd,60 m2,€ 775 /maand,€ 150,320 kWu/m2
"1083 Ganshoren
    
    |
    
      Adres aanvragen","",1980,"",Goede staat,90 m2,€ 775 /maand,€ 200,""
"1090 Jette
    
    |
    
      Adres aanvragen",01/06/2018,"","","",95 m2,€ 770 /maand,"",""
"Rue de la Natation 43
    
    | 1050 - Elsene",01/05/2018,1910,2,Vernieuwd,80 m2,€ 780 /maand,€ 75,""
"1160 Oudergem
    
    |
    
      Adres aanvragen","","","","",70 m2,€ 770 /maand,€ 130,185 kWu/m2
"drève de la brise 35
    
    | 1170 - Watermaal-Bosvoorde",12/03/2018,"",3,"",70 m2,€ 770 /maand,€ 130,""
"1080 St-Jans-Molenbeek
    
    |
    
      Adres aanvragen","","",7,Uitstekende staat,100 m2,€ 780 /maand,€ 60,""
"","","","","","","","",""
"1050 Elsene
    
    |
    
      Adres aanvragen","","","","",110 m2,€ 770 /maand,€ 15,""
"1140 Evere
    
    |
    
      Adres aanvragen",01/12/2017,"","","",90 m2,€ 780 /maand,€ 55,""
"1000 Brussel
    
    |
    
      Adres aanvragen","","","","",80 m2,€ 770 /maand,€ 30,""
"1080 MOLENBEEK-SAINT-JEAN
    
    |
    
      Adres aanvragen",01/05/2018,2003,5,Goede staat,87 m2,€ 780 /maand,€ 140,150 kWu/m2
"avenue du Sippelberg 5 
    bus 0
    | 1080 - Molenbeek-Saint-Jean",01/05/2018,2003,5,"",88 m2,€ 780 /maand,€ 140,116 kWu/m2
"1170 Watermaal-Bosvoorde
    
    |
    
      Adres aanvragen","","",3,Goede staat,90 m2,€ 790 /maand,€ 130,387 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen","","",2,Uitstekende staat,80 m2,€ 780 /maand,€ 100,""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",01/05/2018,1941,4,Uitstekende staat,80 m2,€ 790 /maand,€ 75,260 kWu/m2
"1020 Bruxelles  2
    
    |
    
      Adres aanvragen","","",3,"",85 m2,€ 780 /maand,€ 150,""
"1082 Berchem-Sainte-Agathe
    
    |
    
      Adres aanvragen","","",8,"",85 m2,€ 780 /maand,€ 85,320 kWu/m2
"1030 Schaarbeek
    
    |
    
      Adres aanvragen",01/04/2018,"",3,"",70 m2,€ 789 /maand,€ 59,675 kWu/m2
"rue du bourdon 94A
    bus 1180
    | 1180 - Ukkel",01/05/2017,"",2,Uitstekende staat,70 m2,€ 785 /maand,€ 15,204 kWu/m2
"rue des pêcheries 107
    
    | 1160 - Oudergem",15/06/2018,1980,7,Vernieuwd,90 m2,€ 785 /maand,€ 220,""
"","","","","","","","",""
"Avenue Mozart 43
    
    | 1190 - Vorst","",1960,3,Goede staat,85 m2,€ 790 /maand,€ 100,170 kWu/m2
"Boulevard Général Jacques 158
    
    | 1050 - Ixelles","","","",Goede staat,"",€ 785 /maand,€ 150,""
"Rue du relais 99ap
    
    | 1050 - Elsene","","","","",85 m2,€ 790 /maand,€ 160,""
"","","","","","","","",""
"Tamariskenlaan 35,
    
    | 1080 - Sint-Jans-Molenbeek",01/04/2018,"",8,Goede staat,88 m2,€ 780 /maand,€ 175,155 kWu/m2
"Brand Whitlocklaan 138
    
    | 1200 - St-Lambrechts-Woluwe","","",8,Goede staat,95 m2,€ 780 /maand,€ 150,""
"a 1
    
    | 1040 - Etterbeek","","",3,Goede staat,75 m2,€ 780 /maand,"",""
"1200 WOLUWE-SAINT-LAMBERT
    
    |
    
      Adres aanvragen","",1960,"",Vernieuwd,80 m2,€ 780 /maand,€ 125,443 kWu/m2
"Rue au Bois 238
    
    | 1150 - St-Pieters-Woluwe",01/03/2018,1960,3,Uitstekende staat,83 m2,€ 790 /maand,€ 100,""
"Boulevard Barthélémy 16
    
    | 1000 - Brussel",26/05/2018,1840,"","",95 m2,€ 780 /maand,€ 80,""
"place dr Schweitzer 22
    
    | 1082 - Berchem-Ste-Agathe","","",8,Uitstekende staat,87 m2,€ 790 /maand,€ 45,194 kWu/m2
"RUE DU BROEK 7
    
    | 1082 - St-Agatha-Berchem",01/05/2018,1991,3,Uitstekende staat,75 m2,€ 780 /maand,"",""
"Place de la Patrie /
    
    | 1030 - Schaarbeek","",1960,"",Uitstekende staat,75 m2,€ 780 /maand,"",""
"BD ANSPACH 120
    
    | 1000 - Bruxelles ville","",1850,4,Vernieuwd,"",€ 790 /maand,€ 25,117 kWu/m2
"Harenheidestraat 66
    
    | 1130 - Haren","","","","","",€ 790 /maand,"",""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen","","",3,Goede staat,98 m2,€ 785 /maand,€ 75,""
"1050 Elsene
    
    |
    
      Adres aanvragen","",1958,4,"",75 m2,€ 790 /maand,€ 130,427 kWu/m2
"rue paul Hankar 25
    
    | 1180 - Ukkel","","",3,Uitstekende staat,75 m2,€ 790 /maand,"",""
"1170 Watermaal-Bosvoorde
    
    |
    
      Adres aanvragen","","",3,"",80 m2,€ 790 /maand,€ 140,""
"1200 Woluwe-Saint-Lambert
    
    |
    
      Adres aanvragen","",1960,"","",90 m2,€ 790 /maand,€ 30,""
"Rue de la Natation 43
    
    | 1050 - Elsene",01/05/2018,1910,2,Vernieuwd,80 m2,€ 780 /maand,€ 75,""
"Avenue Adolphe Lacomblé 60
    
    | 1030 - Schaarbeek",01/05/2018,"","","",85 m2,€ 790 /maand,€ 175,166 kWu/m2
"Avenue de la Charmille 20
    bus 59
    | 1200 - St-Lambrechts-Woluwe","","","","",75 m2,€ 790 /maand,€ 200,""
"1050 Elsene
    
    |
    
      Adres aanvragen",15/06/2018,"",4,"",70 m2,€ 785 /maand,€ 150,281 kWu/m2
"1080 St-Jans-Molenbeek
    
    |
    
      Adres aanvragen","","",7,Uitstekende staat,100 m2,€ 780 /maand,€ 60,""
"","","","","","","","",""
"1140 Evere
    
    |
    
      Adres aanvragen",01/12/2017,"","","",90 m2,€ 780 /maand,€ 55,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen","","","",Goede staat,70 m2,€ 790 /maand,"",""
"avenue des Citronniers 70
    
    | 1020 - Laeken",17/04/2018,1970,3,Goede staat,80 m2,€ 795 /maand,€ 25,300 kWu/m2
"","","","","","","","",""
"","","","","","","","",""
"Oorlogkruisenlaan 337
    
    | 1120 - Neder-over-Heembeek",01/05/2018,1989,4,Goede staat,100 m2,€ 795 /maand,€ 95,""
"1083 Ganshoren
    
    |
    
      Adres aanvragen","",1966,21,Goede staat,105 m2,€ 800 /maand,€ 150,171 kWu/m2
"1200 Woluwe-Saint-Lambert
    
    |
    
      Adres aanvragen","",1960,14,Goede staat,70 m2,€ 800 /maand,€ 180,697 kWu/m2
"Avenue Henry Dunant 9,29
    
    | 1140 - Brussel Evere",01/08/2018,"","",Goede staat,85 m2,€ 800 /maand,€ 150,200 kWu/m2
"Rue Paul Bossu 8
    bus 4
    | 1150 - St-Pieters-Woluwe","",1945,5,Goede staat,77 m2,€ 800 /maand,€ 75,245 kWu/m2
"1170 Watermaal-Bosvoorde
    
    |
    
      Adres aanvragen","","",3,Goede staat,90 m2,€ 790 /maand,€ 130,387 kWu/m2
"Avenue Charles Woeste 315
    
    | 1090 - Jette",01/04/2018,1970,6,Goede staat,95 m2,€ 800 /maand,€ 95,268 kWu/m2
"Rue Emile Van Overstraeten 19
    
    | 1082 - St-Agatha-Berchem","","",3,Uitstekende staat,80 m2,€ 800 /maand,€ 170,""
"Avenue van der Meerschen 57
    
    | 1150 - Woluwe-Saint-Pierre",01/06/2018,"",2,Uitstekende staat,85 m2,€ 800 /maand,"",""
"","","","","","","","",""
